pos,R,G,B
0.000000,0,0,13
0.003922,0,0,16
0.007843,0,0,19
0.011765,0,0,22
0.015686,0,0,25
0.019608,0,0,28
0.023529,0,0,31
0.027451,0,0,34
0.031373,1,0,37
0.035294,1,0,40
0.039216,1,0,43
0.043137,1,0,46
0.047059,1,0,49
0.050980,1,0,52
0.054902,1,0,56
0.058824,1,0,60
0.062745,1,0,64
0.066667,1,0,68
0.070588,1,0,72
0.074510,1,0,76
0.078431,1,0,80
0.082353,1,0,84
0.086275,1,0,88
0.090196,1,0,92
0.094118,1,0,96
0.098039,1,0,100
0.101961,1,0,104
0.105882,1,0,108
0.109804,1,0,112
0.113725,1,0,117
0.117647,1,0,121
0.121569,1,0,125
0.125490,1,0,129
0.129412,1,0,133
0.133333,1,0,138
0.137255,1,0,142
0.141176,1,0,146
0.145098,1,0,150
0.149020,1,0,155
0.152941,1,0,160
0.156863,1,0,166
0.160784,1,0,172
0.164706,1,0,178
0.168627,1,0,184
0.172549,1,0,190
0.176471,1,0,196
0.180392,1,0,202
0.184314,0,0,207
0.188235,0,0,212
0.192157,0,0,218
0.196078,0,0,223
0.200000,0,0,228
0.203922,0,0,233
0.207843,0,0,239
0.211765,0,0,244
0.215686,0,1,249
0.219608,0,5,254
0.223529,0,8,251
0.227451,0,11,247
0.231373,0,14,243
0.235294,0,17,239
0.239216,0,19,235
0.243137,0,22,231
0.247059,0,24,227
0.250980,0,28,223
0.254902,0,33,218
0.258824,0,39,213
0.262745,0,44,208
0.266667,0,49,203
0.270588,0,53,198
0.274510,0,58,193
0.278431,0,62,188
0.282353,0,65,183
0.286275,0,69,178
0.290196,0,81,172
0.294118,0,92,165
0.298039,0,101,159
0.301961,0,110,153
0.305882,0,117,147
0.309804,0,124,140
0.313725,0,129,134
0.317647,0,128,122
0.321569,0,123,107
0.325490,0,128,101
0.329412,0,133,94
0.333333,0,138,87
0.337255,0,143,78
0.341176,0,148,69
0.345098,0,153,58
0.349020,0,158,47
0.352941,0,163,36
0.356863,0,168,23
0.360784,0,173,19
0.364706,0,178,14
0.368627,0,182,10
0.372549,0,187,5
0.376471,0,192,0
0.380392,6,196,0
0.384314,11,201,0
0.388235,17,206,0
0.392157,23,211,0
0.396078,26,214,0
0.400000,28,218,0
0.403922,29,222,0
0.407843,31,225,0
0.411765,33,229,0
0.415686,34,233,0
0.419608,36,236,0
0.423529,38,240,0
0.427451,40,243,0
0.431373,45,245,0
0.435294,52,247,0
0.439216,59,248,0
0.443137,67,249,0
0.447059,74,250,0
0.450980,81,251,0
0.454902,89,252,0
0.458824,96,253,0
0.462745,104,255,0
0.466667,112,255,0
0.470588,121,255,0
0.474510,130,255,0
0.478431,139,255,0
0.482353,147,255,0
0.486275,156,255,0
0.490196,165,255,0
0.494118,174,255,0
0.498039,183,255,0
0.501961,191,255,0
0.505882,199,255,0
0.509804,208,255,0
0.513725,216,255,0
0.517647,224,255,0
0.521569,233,255,0
0.525490,241,255,0
0.529412,249,255,0
0.533333,255,252,0
0.537255,255,245,0
0.541176,255,238,0
0.545098,255,232,0
0.549020,255,226,0
0.552941,255,220,0
0.556863,255,214,0
0.560784,255,207,0
0.564706,255,201,0
0.568627,255,195,0
0.572549,255,189,0
0.576471,255,184,0
0.580392,255,178,0
0.584314,255,172,0
0.588235,255,167,0
0.592157,255,161,0
0.596078,255,156,0
0.600000,255,150,0
0.603922,255,145,0
0.607843,255,139,0
0.611765,255,135,0
0.615686,255,130,0
0.619608,255,125,0
0.623529,255,121,0
0.627451,255,116,0
0.631373,255,111,0
0.635294,255,107,0
0.639216,255,102,0
0.643137,255,98,0
0.647059,255,92,0
0.650980,255,87,0
0.654902,255,82,0
0.658824,255,77,0
0.662745,255,72,0
0.666667,255,67,0
0.670588,255,62,0
0.674510,255,57,0
0.678431,255,52,0
0.682353,255,46,0
0.686275,255,40,0
0.690196,255,33,0
0.694118,255,27,0
0.698039,255,21,0
0.701961,255,15,0
0.705882,255,9,0
0.709804,255,2,0
0.713725,255,0,4
0.717647,255,0,6
0.721569,255,0,8
0.725490,255,0,10
0.729412,255,0,12
0.733333,255,0,13
0.737255,255,0,15
0.741176,255,0,17
0.745098,255,0,19
0.749020,255,0,21
0.752941,255,0,24
0.756863,255,0,29
0.760784,255,0,33
0.764706,255,0,37
0.768627,255,0,41
0.772549,255,0,45
0.776471,255,0,49
0.780392,255,0,54
0.784314,255,0,58
0.788235,255,0,63
0.792157,255,0,68
