pos,R,G,B
0.000000,7,0,51
0.003922,7,0,61
0.007843,8,0,71
0.011765,8,0,81
0.015686,8,0,91
0.019608,8,0,101
0.023529,8,0,111
0.027451,7,0,121
0.031373,7,0,131
0.035294,6,0,141
0.039216,4,0,149
0.043137,3,0,157
0.047059,1,0,166
0.050980,0,1,174
0.054902,0,3,182
0.058824,0,5,190
0.062745,0,8,199
0.066667,0,11,207
0.070588,0,14,215
0.074510,0,17,223
0.078431,0,20,227
0.082353,0,23,229
0.086275,0,26,232
0.090196,0,29,235
0.094118,0,32,237
0.098039,0,36,240
0.101961,0,39,243
0.105882,0,42,245
0.109804,0,46,248
0.113725,0,49,251
0.117647,0,53,253
0.121569,0,56,255
0.125490,0,58,255
0.129412,0,61,255
0.133333,0,63,255
0.137255,0,65,255
0.141176,0,68,255
0.145098,0,70,255
0.149020,0,72,255
0.152941,0,74,255
0.156863,0,77,255
0.160784,0,79,255
0.164706,0,81,255
0.168627,0,84,255
0.172549,0,86,255
0.176471,0,88,255
0.180392,0,91,255
0.184314,0,93,255
0.188235,0,95,255
0.192157,0,97,255
0.196078,0,100,255
0.200000,0,102,255
0.203922,0,104,255
0.207843,0,107,255
0.211765,0,109,255
0.215686,0,111,255
0.219608,0,114,255
0.223529,0,116,255
0.227451,0,118,255
0.231373,0,121,255
0.235294,0,123,255
0.239216,0,125,255
0.243137,0,128,255
0.247059,0,130,255
0.250980,0,132,255
0.254902,0,135,255
0.258824,0,139,255
0.262745,0,145,255
0.266667,0,151,255
0.270588,0,157,255
0.274510,0,164,255
0.278431,0,170,255
0.282353,0,176,255
0.286275,0,182,255
0.290196,0,188,255
0.294118,0,195,255
0.298039,0,201,255
0.301961,0,210,255
0.305882,0,221,255
0.309804,0,232,255
0.313725,0,244,255
0.317647,0,255,255
0.321569,0,255,244
0.325490,0,255,231
0.329412,0,255,206
0.333333,0,255,181
0.337255,0,255,157
0.341176,0,255,132
0.345098,0,255,107
0.349020,0,255,83
0.352941,0,255,62
0.356863,0,255,56
0.360784,0,255,51
0.364706,0,255,45
0.368627,0,255,39
0.372549,0,255,33
0.376471,0,255,27
0.380392,0,255,21
0.384314,0,255,15
0.388235,0,255,9
0.392157,0,255,3
0.396078,3,255,0
0.400000,8,255,0
0.403922,16,255,0
0.407843,23,255,0
0.411765,30,255,0
0.415686,38,255,0
0.419608,45,255,0
0.423529,52,255,0
0.427451,60,255,0
0.431373,67,255,0
0.435294,75,255,0
0.439216,82,255,0
0.443137,89,255,0
0.447059,96,255,0
0.450980,103,255,0
0.454902,109,255,0
0.458824,115,255,0
0.462745,122,255,0
0.466667,128,255,0
0.470588,133,255,0
0.474510,139,255,0
0.478431,145,255,0
0.482353,152,255,0
0.486275,158,255,0
0.490196,163,255,0
0.494118,170,255,0
0.498039,176,255,0
0.501961,181,255,0
0.505882,187,255,0
0.509804,193,255,0
0.513725,199,255,0
0.517647,205,255,0
0.521569,211,255,0
0.525490,217,255,0
0.529412,223,255,0
0.533333,229,255,0
0.537255,235,255,0
0.541176,241,255,0
0.545098,247,255,0
0.549020,251,255,0
0.552941,255,255,0
0.556863,255,251,0
0.560784,255,246,0
0.564706,255,242,0
0.568627,255,238,0
0.572549,255,234,0
0.576471,255,229,0
0.580392,255,225,0
0.584314,255,221,0
0.588235,255,217,0
0.592157,255,212,0
0.596078,255,208,0
0.600000,255,204,0
0.603922,255,201,0
0.607843,255,197,0
0.611765,255,194,0
0.615686,255,191,0
0.619608,255,187,0
0.623529,255,184,0
0.627451,255,181,0
0.631373,255,177,0
0.635294,255,174,0
0.639216,255,171,0
0.643137,255,167,0
0.647059,255,164,0
0.650980,255,160,0
0.654902,255,154,0
0.658824,255,148,0
0.662745,255,142,0
0.666667,255,136,0
0.670588,255,130,0
0.674510,255,124,0
0.678431,255,118,0
0.682353,255,112,0
0.686275,255,106,0
0.690196,255,100,0
0.694118,255,94,0
0.698039,255,88,0
0.701961,255,83,0
0.705882,255,79,0
0.709804,255,75,0
0.713725,255,70,0
0.717647,255,66,0
0.721569,255,62,0
0.725490,255,58,0
0.729412,255,54,0
0.733333,255,50,0
0.737255,255,45,0
0.741176,255,41,0
0.745098,255,37,0
0.749020,255,33,0
0.752941,255,29,0
0.756863,255,25,0
0.760784,255,20,0
0.764706,255,16,0
0.768627,255,12,0
0.772549,255,8,0
0.776471,255,4,0
0.780392,255,0,0
0.784314,255,0,3
0.788235,255,0,6
0.792157,255,0,8
0.796078,255,0,11
0.800000,255,0,14
0.803922,255,0,16
0.807843,255,0,19
0.811765,255,0,22
0.815686,255,0,24
